,BukkenName,Price,Address,Space,Type,Belanda,Build,Line,Station,Walk,DaysAgo,City,Street,Number,Latitude,Longitude
2234,プレミスト月島,4000,東京都中央区佃３,25.38,ワンルーム,7.05,2021-02-01,都営大江戸線,月島,3,985,東京都,中央区,佃３,35.6654475,139.7863615
2235,明石町ツインクロス,4000,東京都中央区明石町,37.23,2K,4.15,1984-02-01,東京メトロ有楽町線,新富町,1,14500,東京都,中央区,明石町,35.6674774,139.7786272
2236,リビオレゾン勝どきｎｅｘ,4050,東京都中央区勝どき５,32.18,1LDK,5.15,2021-03-01,都営大江戸線,勝どき,9,957,東京都,中央区,勝どき５,35.657516,139.7709587
2237,川口アパートメント,4080,東京都文京区春日２,71.61,2LDK,,1964-09-01,東京メトロ丸ノ内線,後楽園,11,21592,東京都,文京区,春日２,35.7122976,139.741572
2238,ニューハイツ八丁堀,4080,東京都中央区新川２-21-15,40.5,1LDK,8.99,1982-11-01,東京メトロ日比谷線,八丁堀,6,14957,東京都,中央区,新川,35.6738623,139.7818027
2239,サーラ・プラティコ,4080,東京都港区芝２,29.75,1K,6.49,2010-03-01,都営三田線,三田,6,4975,東京都,港区,芝２,35.6509821,139.7517918
2240,市ヶ谷ホームズ,4080,東京都新宿区富久町,55.96,1LDK,,1976-10-01,東京メトロ丸ノ内線,新宿御苑前,7,17179,東京都,新宿区,富久町,35.6934999,139.7147533
2241,サンサーラ御苑,4099,東京都新宿区新宿１-23-5,44.28,2DK,8.1,1980-11-01,東京メトロ丸ノ内線,新宿御苑前,3,15687,東京都,新宿区,新宿,35.6889714,139.7140551
2242,ゾンネンハイム渋谷,4099,東京都渋谷区渋谷３-１-１５,32.72,1LDK,3.36,1982-09-01,ＪＲ山手線,渋谷,6,15018,東京都,渋谷区,渋谷,35.6577948,139.7073125
2243,サンサーラ御苑,4099,東京都新宿区新宿１,44.28,2DK,8.1,1980-11-01,東京メトロ丸ノ内線,新宿御苑前,3,15687,東京都,新宿区,新宿１,35.6890329,139.7121998
2244,ステージファースト神田,4100,東京都千代田区岩本町２,38.77,1LDK,2.85,2000-03-01,ＪＲ山手線,神田,8,8627,東京都,千代田区,岩本町２,35.6933689,139.777349
2245,ビクセル新宿,4100,東京都新宿区新宿７,45.6,1LDK,3.6,1989-03-01,都営大江戸線,東新宿,2,12645,東京都,新宿区,新宿７,35.6999909,139.7109231
2246,ニューハイム坂町,4100,東京都新宿区四谷坂町,39.99,1LDK,8.01,1974-12-01,ＪＲ中央線,四ツ谷,10,17849,東京都,新宿区,四谷坂町,35.6907555,139.7272033
2247,フリーディオ神楽坂,4100,東京都新宿区天神町,31.91,ワンルーム,6.72,1999-05-01,東京メトロ東西線,神楽坂,4,8932,東京都,新宿区,天神町,35.7058039,139.7303961
2248,ジーベック大手町,4100,東京都千代田区神田錦町１,27.86,1K,2.05,2017-10-01,東京メトロ千代田線,大手町,5,2204,東京都,千代田区,神田錦町１,35.6918482,139.7642496
2249,フリーディオ神楽坂,4100,東京都新宿区天神町,31.91,ワンルーム,6.72,1999-05-01,東京メトロ東西線,神楽坂,4,8932,東京都,新宿区,天神町,35.7058039,139.7303961
2250,ビクセル新宿,4100,東京都新宿区新宿７,45.6,1LDK,3.6,1989-03-01,都営大江戸線,東新宿,2,12645,東京都,新宿区,新宿７,35.6999909,139.7109231
2251,シャトー文京,4180,東京都文京区西片１,49.48,1LDK+S（納戸）,4.32,1970-06-01,都営三田線,春日,2,19493,東京都,文京区,西片１,35.7128348,139.754347
2252,AXAS白金台,4180,東京都港区白金台２,25.53,1K,5.13,2014-10-01,都営浅草線,高輪台,3,3300,東京都,港区,白金台２,35.6342371,139.7300768
2253,麹町ロイヤルマンション,4180,東京都千代田区麹町４-7-5,34.32,1DK,4.68,1971-11-01,東京メトロ有楽町線,麹町,4,18975,東京都,千代田区,麹町,35.6837077,139.735688
